Date,Revenue,Profit
2025-11-17,10294.36,4311.84
2025-11-18,10625.82,4331.52
2025-11-19,10585.33,4394.03
2025-11-20,10894.57,4360.43
2025-11-21,11105.17,4295.0
2025-11-22,11097.85,4415.89
2025-11-23,11241.76,4457.34
2025-11-24,11349.38,4698.63
2025-11-25,11261.09,4835.59
2025-11-26,11216.11,4944.43
2025-11-27,11088.32,5007.47
2025-11-28,11219.6,4997.41
2025-11-29,11399.23,4967.59
2025-11-30,11572.68,5080.34
2025-12-01,11664.98,5240.8
2025-12-02,11830.56,5273.12
2025-12-03,11984.47,5219.82
2025-12-04,12198.58,5303.53
2025-12-05,12561.43,5559.85
2025-12-06,12890.2,5719.89
2025-12-07,12654.57,5914.78
2025-12-08,12624.97,5896.3
2025-12-09,12847.8,6020.87
2025-12-10,12586.54,6142.42
2025-12-11,12686.98,6066.86
2025-12-12,12947.89,6157.38
2025-12-13,12778.63,6269.21
2025-12-14,12849.75,6224.18
2025-12-15,13297.31,6266.11
2025-12-16,13344.49,6260.91
